year,period,treatment_ha_passes,monitoring_ha_surveys,treatment_price_ex_vat_rub,monitoring_price_ex_vat_rub,treatment_variable_unit_rub,monitoring_variable_unit_rub,treatment_revenue_rub,monitoring_revenue_rub,revenue_rub,variable_cost_rub,contribution_rub,fixed_opex_rub,ebitda_rub,depreciation_rub,ebit_rub,usn_tax_rub,accounting_profit_rub,vat_threshold_assumed_rub,vat_collected_rub,vat_remitted_rub,customer_billings_including_vat_rub,additional_capex_rub,initial_capex_rub,launch_cost_rub,reserve_funding_rub,reserve_return_rub,free_cash_flow_rub,discount_factor,present_value_rub,cumulative_cf_rub,cumulative_discounted_cf_rub,classification
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,500000,2000000,0,-9500000,1,-9500000,-9500000,-9500000,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
2027,1,6000.0,4000.0,1300.0,250.0,400.0,60.0,7800000.0,1000000.0,8800000.0,2640000.0,6160000.0,4200000.0,1960000.0,1400000.0,560000.0,528000.0,32000.0,20000000,0,0,8800000.0,0,0,0,0,0,1432000.0,0.80645161,1154838.70967742,-8068000.0,-8345161.29032258,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
2028,2,9000.0,6000.0,1352.0,260.0,420.0,63.0,12168000.0,1560000.0,13728000.0,4158000.0,9570000.0,4410000.0,5160000.0,1500000.0,3660000.0,823680.0,2836320.0,20000000,0,0,13728000.0,300000,0,0,0,0,4036320.0,0.6503642,2625078.04370447,-4031680.0,-5720083.24661811,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
2029,3,11000.0,8000.0,1406.08,270.4,441.0,66.15,15466880.0,2163200.0,17630080.0,5380200.0,12249880.0,4630500.0,7619380.0,1700000.0,5919380.0,1057804.8,4861575.2,20000000,0,0,17630080.0,600000,0,0,0,0,5961575.2,0.52448726,3126770.24940418,1929895.2,-2593312.99721392,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
2030,4,12000.0,9000.0,1462.3232,281.216,463.05,69.4575,17547878.4,2530944.0,20078822.4,6181717.5,13897104.9,4862025.0,9035079.9,2000000.0,7035079.9,1204729.344,5830350.556,15000000,1003941.12,1003941.12,21082763.52,900000,0,0,0,0,6930350.556,0.4229736,2931355.30858259,8860245.756,338042.31136867,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
2031,5,13000.0,10000.0,1520.816128,292.46464,486.2025,72.930375,19770609.664,2924646.4,22695256.064,7049936.25,15645319.814,5105126.25,10540193.564,2100000.0,8440193.564,1361715.36384,7078478.20016,10000000,1134762.8032,1134762.8032,23830018.8672,600000,0,0,0,2000000,10578478.20016,0.34110774,3608400.79307408,19438723.95616001,3946443.10444274,[РАСЧЕТ]; входные параметры [ДОПУЩЕНИЕ]
