scenario,initial_investment_rub,discount_rate,npv_rub,cumulative_net_cf_rub,simple_payback_years,discounted_payback_years,terminal_equipment_value_rub,terminal_book_value_not_cash_rub
base,9500000,0.24,3946443.10444274,19438723.95616001,2.67627764,3.88468054,0,700000.0
price_minus_10pct,9500000,0.24,44872.93632983,11643101.06054401,3.36585085,5.0,0,700000.0
volume_minus_25pct,9500000,0.24,-2638836.29208941,6302130.15462,4.1408759,,0,700000.0
variable_plus_20pct,9500000,0.24,1411526.28544264,14356753.20616,3.08882054,4.70174115,0,700000.0
one_year_delay,9500000,0.24,-1433041.24429905,10402031.16124001,3.79279584,,0,800000.0
treatment_price_900,9500000,0.24,-6605370.12955781,-1603788.65312,,,0,700000.0
