year,service,unit,price_ex_vat_rub,variable_cost_rub,contribution_before_usn_rub,usn_per_unit_rub,contribution_after_usn_rub,status
2027,treatment,ha_pass,1300.0,400.0,900.0,78.0,822.0,[РАСЧЕТ]; фиксированные расходы не распределены
2027,monitoring,ha_survey,250.0,60.0,190.0,15.0,175.0,[РАСЧЕТ]; фиксированные расходы не распределены
2028,treatment,ha_pass,1352.0,420.0,932.0,81.12,850.88,[РАСЧЕТ]; фиксированные расходы не распределены
2028,monitoring,ha_survey,260.0,63.0,197.0,15.6,181.4,[РАСЧЕТ]; фиксированные расходы не распределены
2029,treatment,ha_pass,1406.08,441.0,965.08,84.3648,880.7152,[РАСЧЕТ]; фиксированные расходы не распределены
2029,monitoring,ha_survey,270.4,66.15,204.25,16.224,188.026,[РАСЧЕТ]; фиксированные расходы не распределены
2030,treatment,ha_pass,1462.3232,463.05,999.2732,87.739392,911.533808,[РАСЧЕТ]; фиксированные расходы не распределены
2030,monitoring,ha_survey,281.216,69.4575,211.7585,16.87296,194.88554,[РАСЧЕТ]; фиксированные расходы не распределены
2031,treatment,ha_pass,1520.816128,486.2025,1034.613628,91.24896768,943.36466032,[РАСЧЕТ]; фиксированные расходы не распределены
2031,monitoring,ha_survey,292.46464,72.930375,219.534265,17.5478784,201.9863866,[РАСЧЕТ]; фиксированные расходы не распределены
